"Qty","Value","Device","Package","Parts","Description","DIGIKEY","DISP","MF","MPN","VALUE","VALUE_PART",
"3","CONN_AUX_M12_REMOTE","CONN_AUX_M12_REMOTE","1X05_M12_TE_T41410","J1, J2, J3","GEMS Connector for Auiliary Port Devices","A126851-ND","Remote","TE","T4141012051-000","","",
"1","CONN_TALON_REMOTE","CONN_TALON_REMOTE","1X06_MICROLOCKPLUS","J4","GEMS Connector for Talon Interface","900-2059570671CT-ND","Remote","Molex","2059570671","","",
"1","FXMAR2102UMLP","FXMAR2102UMLP","UQFN-8_1.4X1.2","U2","FXMAR2102 - 2 Channel Bidirectional Voltage Level Translator for I2C Applications","FXMAR2102UMX-F106CT-ND","FXMAR2102","OnSemi","FXMAR2102UMX-F106","","",
"6","MAX9064","MAX9064","SOT23-5","U16, U17, U19, U20, U22, U23","MAX906x - Ultra-Small nanoPower Single Comparator","MAX9064EUK+TCT-ND","MAX9064","Maxim","MAX9064EUK+T","","",
"3","MIC2090-2","MIC2090-2","SOT23-5","U3, U4, U5","MIC209x - Hight Side Load Switch, with Fixed Current Limit","576-3964-1-ND","MIC2090-2","Microchip","MIC2090-2YM5-TR","","",
"1","PAM2401MSOP","PAM2401MSOP","MSOP_8","U28","PAM2401 - Step-Up (Boost) DC-DC Converter","PAM2401SCADJDICT-ND","","Diodes Inc","PAM2401SCADJ","","",
"3","PCAL9535AQFN","PCAL9535AQFN","QFN24","U11, U25, U26","PCAL95*5A - I2C I/O Expander, 16 bit wtih interrupt and agile IO","568-9947-1-ND","PCAL9535A","NXP","PCAL9535AHF","128","",
"3","SN74AUP1T87","SN74AUP1T87","DCK_R-PDSO-G5","U18, U21, U24","SN74AUP1T87 - XNOR, 1 Element, 2 Input","296-27398-1-ND","SN74AUP1T87","TI","SN74AUP1T87DCKR","","",
"1","SN74LVC1G3157SC70","SN74LVC1G3157SC70","DCK_R-PDSO-G6","U8","SN74LVC1G3157 - SPDT Analog Switch","296-14909-1-ND","SN74LVC1G3157","TI","SN74LVC1G3157DCKR","","",
"3","SPDTCAS-120A1","SPDTCAS-120A1","CAS-120A1","S1, S2, S3","Genaric SPDT switch","CAS120JCT-ND","","Nidec Copal","CAS-120TA","","",
